,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,San Vicente,-26.6167,-54.1333,57.81,76,0,2.55,AR,1619935121
1,Rikitea,-23.1203,-134.9692,77.0,76,89,14.7,PF,1619935121
2,Dikson,73.5069,80.5464,27.82,86,98,4.9,RU,1619935122
3,Punta Arenas,-53.15,-70.9167,39.2,81,75,14.97,CL,1619935122
4,Talovaya,51.1144,40.73,59.32,64,95,6.24,RU,1619935123
5,Albany,42.6001,-73.9662,46.0,69,100,3.47,US,1619934981
6,Butaritari,3.0707,172.7902,83.91,73,99,12.86,KI,1619935123
7,San Quintín,30.4833,-115.95,58.37,87,100,11.1,MX,1619935124
8,Faya,18.3851,42.4509,68.0,34,0,2.39,SA,1619935124
9,Ambon City,-3.6954,128.1814,82.4,83,40,4.61,ID,1619935125
10,Arraial do Cabo,-22.9661,-42.0278,72.45,69,100,8.23,BR,1619935125
11,Vestmannaeyjar,63.4427,-20.2734,37.9,66,68,11.97,IS,1619935125
12,Hobart,-42.8794,147.3294,70.0,68,0,6.91,AU,1619935126
13,Leh,34.1667,77.5833,48.33,37,13,1.12,IN,1619935126
14,Sørland,67.667,12.6934,35.89,66,100,14.92,NO,1619935127
15,Puerto Baquerizo Moreno,-0.9,-89.6,74.01,80,14,8.39,EC,1619935127
16,Radviliškis,55.8167,23.5333,39.2,81,0,9.22,LT,1619935128
17,Port Hardy,50.6996,-127.4199,46.4,87,20,8.05,CA,1619935128
18,Talnakh,69.4865,88.3972,28.11,94,98,2.89,RU,1619935128
19,Morehead,37.2711,-87.1764,60.01,94,1,7.0,US,1619935129
20,Limbe,4.0242,9.2149,77.0,94,40,3.44,CM,1619935129
21,Vaini,-21.2,-175.2,75.2,78,75,11.5,TO,1619935130
22,Bluff,-46.6,168.3333,55.99,88,96,11.99,NZ,1619935130
23,Puerto Ayora,-0.7393,-90.3518,73.0,95,46,5.19,EC,1619935131
24,Acarí,-15.4311,-74.6158,69.42,78,18,0.87,PE,1619935131
25,Vostok,46.4856,135.8833,42.85,57,100,13.76,RU,1619935132
26,Hasaki,35.7333,140.8333,64.4,48,75,11.5,JP,1619935132
27,Nikolskoye,59.7035,30.7861,42.01,70,0,4.47,RU,1619935132
28,Tasiilaq,65.6145,-37.6368,23.0,93,10,3.44,GL,1619935133
29,Karratha,-20.7377,116.8463,88.97,38,11,13.38,AU,1619935133
30,Nuuk,64.1835,-51.7216,35.6,80,20,11.5,GL,1619935134
31,Kashgar,39.4547,75.9797,78.8,14,40,13.42,CN,1619935134
32,Avarua,-21.2078,-159.775,75.2,100,90,6.91,CK,1619934880
33,Saint-Prosper,46.2117,-70.4811,39.2,70,87,1.14,CA,1619935135
34,Kaitangata,-46.2817,169.8464,59.0,58,47,5.55,NZ,1619935135
35,Kapaa,22.0752,-159.319,75.2,83,40,16.11,US,1619935136
36,Flin Flon,54.7682,-101.865,31.75,86,95,5.55,CA,1619935136
37,Busselton,-33.65,115.3333,60.01,82,60,1.99,AU,1619935137
38,East London,-33.0153,27.9116,55.4,82,0,6.91,ZA,1619935137
39,Saint Paul Harbor,57.79,-152.4072,42.8,75,90,14.97,US,1619935137
40,Vila Velha,-20.3297,-40.2925,73.99,100,75,3.44,BR,1619935138
41,Hermanus,-34.4187,19.2345,57.0,74,70,5.99,ZA,1619935138
42,Upernavik,72.7868,-56.1549,18.39,73,9,5.79,GL,1619935139
43,Cayenne,4.9333,-52.3333,75.2,94,77,3.44,GF,1619935139
44,Cherskiy,68.75,161.3,23.7,82,19,3.89,RU,1619935139
45,Okha,53.5739,142.9478,32.74,85,100,14.81,RU,1619935140
46,Atuona,-9.8,-139.0333,79.65,70,8,8.93,PF,1619935140
47,Port Alfred,-33.5906,26.891,62.29,60,0,5.44,ZA,1619935141
48,Nemuro,43.3236,145.575,41.0,65,75,11.5,JP,1619935141
49,Lebu,-37.6167,-73.65,55.33,97,100,8.28,CL,1619935141
50,Udachny,66.4167,112.4,34.02,100,100,7.16,RU,1619935142
51,Vardø,70.3705,31.1107,32.72,60,99,13.42,NO,1619935142
52,Hargeisa,9.56,44.065,73.83,63,47,10.0,SO,1619935143
53,Mountain Home,43.133,-115.6912,53.6,66,1,11.5,US,1619935143
54,Balkhash,46.844,74.9804,57.2,19,0,29.08,KZ,1619935143
55,Prome,18.8167,95.2167,100.51,30,1,4.54,MM,1619935144
56,Coffs Harbour,-30.3,153.1333,71.6,68,100,4.61,AU,1619935144
57,Mataura,-46.1927,168.8643,55.99,88,80,11.99,NZ,1619935145
58,Kununurra,-15.7667,128.7333,93.2,29,0,11.5,AU,1619935145
59,Half Moon Bay,37.4636,-122.4286,53.6,87,75,21.85,US,1619935145
60,Kiryat Gat,31.61,34.7642,79.0,36,5,1.01,IL,1619935146
61,Tirumullaivāsal,11.2333,79.8333,90.59,57,24,11.34,IN,1619935146
62,Ushuaia,-54.8,-68.3,35.6,80,40,6.91,AR,1619935021
63,Yatou,37.15,122.3833,60.75,37,0,10.11,CN,1619935147
64,Kampene,-3.6,26.6667,70.38,97,100,1.9,CD,1619935147
65,Bredasdorp,-34.5322,20.0403,39.2,93,4,3.44,ZA,1619935148
66,Quatre Cocos,-20.2078,57.7625,82.99,83,40,9.98,MU,1619935148
67,Taoudenni,22.6783,-3.9836,79.88,48,94,12.01,ML,1619935149
68,Lüderitz,-26.6481,15.1594,74.35,28,0,16.75,NA,1619935149
69,Qaanaaq,77.484,-69.3632,25.86,55,67,8.5,GL,1619935149
70,Grajaú,-5.8194,-46.1386,71.44,88,97,0.89,BR,1619935150
71,Mahébourg,-20.4081,57.7,80.6,83,40,10.16,MU,1619935150
72,Tuktoyaktuk,69.4541,-133.0374,15.8,100,90,2.3,CA,1619935151
73,Jamestown,42.097,-79.2353,55.4,41,1,18.41,US,1619935151
74,Kāvali,14.9167,79.9833,93.76,48,0,14.72,IN,1619935151
75,Westport,41.1415,-73.3579,53.6,66,75,8.05,US,1619935152
76,New Norfolk,-42.7826,147.0587,70.0,54,100,1.66,AU,1619935152
77,Beisfjord,68.3751,17.5988,32.0,86,90,2.3,NO,1619935153
78,Yellowknife,62.456,-114.3525,24.8,58,1,8.05,CA,1619935153
79,Chegdomyn,51.1167,133.0167,49.35,52,98,5.59,RU,1619935154
80,Qaryat Sulūq,31.6682,20.2521,86.56,13,54,14.34,LY,1619935154
81,Hilo,19.7297,-155.09,73.4,83,90,4.61,US,1619935154
82,Wajima,37.4,136.9,48.2,87,75,6.91,JP,1619935155
83,Cape Town,-33.9258,18.4232,61.0,93,0,3.44,ZA,1619935155
84,Bengkulu,-3.8004,102.2655,83.82,73,70,6.69,ID,1619935156
85,Nanortalik,60.1432,-45.2371,34.79,69,85,12.97,GL,1619935156
86,Kloulklubed,7.0419,134.2556,77.0,94,90,5.75,PW,1619935157
87,Los Llanos de Aridane,28.6585,-17.9182,64.4,68,75,6.91,ES,1619935157
88,Bulgan,48.8125,103.5347,48.24,49,48,20.96,MN,1619935157
89,Ivaiporã,-24.2478,-51.6847,57.45,92,10,4.29,BR,1619935158
90,Isangel,-19.55,169.2667,77.14,79,91,17.07,VU,1619935158
91,Mount Gambier,-37.8333,140.7667,64.4,72,75,11.5,AU,1619935159
92,Khatanga,71.9667,102.5,32.11,99,57,5.28,RU,1619935159
93,Bethel,41.3712,-73.414,57.2,28,90,8.05,US,1619935160
94,Cidreira,-30.1811,-50.2056,64.72,83,0,8.81,BR,1619935160
95,Hīt,33.6416,42.8251,83.12,20,0,17.83,IQ,1619935161
96,Chokurdakh,70.6333,147.9167,24.94,86,6,5.12,RU,1619935161
97,Gemeente Heerenveen,52.95,5.9333,44.01,41,24,3.0,NL,1619935161
98,George Town,5.4112,100.3354,91.4,79,20,9.22,MY,1619935162
99,Río Gallegos,-51.6226,-69.2181,39.2,93,90,2.3,AR,1619935162
100,Hong Kong,22.2855,114.1577,84.0,75,96,1.01,HK,1619935163
101,Naze,28.3667,129.4833,71.6,46,0,12.66,JP,1619935163
102,Falmouth,50.1544,-5.0711,42.8,81,7,4.74,GB,1619935164
103,Kemijärvi,66.7131,27.4306,29.79,77,58,3.69,FI,1619935164
104,Lavrentiya,65.5833,-171.0,20.1,84,82,7.96,RU,1619935165
105,Esna,25.2934,32.554,80.6,21,9,2.3,EG,1619935165
106,Vidim,56.4088,103.1106,48.88,57,94,8.63,RU,1619935165
107,Burgos,42.3394,-3.7079,37.4,93,75,9.22,ES,1619935166
108,Statesboro,32.4488,-81.7832,60.8,82,1,5.88,US,1619935027
109,Murgab,37.4966,61.9714,80.6,34,0,6.91,TM,1619935167
110,Córdoba,-31.4135,-64.1811,62.01,82,0,9.22,AR,1619934993
111,Harper,4.375,-7.7169,78.75,86,70,6.15,LR,1619935167
112,Souillac,-20.5167,57.5167,80.6,83,40,8.46,MU,1619935168
113,Noumea,-22.2763,166.4572,79.0,65,90,11.5,NC,1619935168
114,La Tuque,47.4334,-72.7824,41.0,52,100,5.75,CA,1619935168
115,Tigil',57.8,158.6667,44.91,55,27,6.82,RU,1619935169
116,Kibre Mengist,5.8833,38.9833,62.28,92,99,1.63,ET,1619935169
117,Monte Alegre de Minas,-18.8706,-48.8808,62.6,77,0,6.91,BR,1619935170
118,Mar del Plata,-38.0023,-57.5575,61.0,93,95,6.91,AR,1619935170
119,Asău,46.4333,26.4,66.99,39,99,3.65,RO,1619935171
120,Liuli,-11.0833,34.6333,77.49,75,45,4.83,TZ,1619935171
121,Salalah,17.0151,54.0924,87.8,70,75,6.91,OM,1619935172
122,Clyde River,70.4692,-68.5914,12.2,92,20,4.61,CA,1619935172
123,Uruguaiana,-29.7547,-57.0883,62.6,82,0,4.61,BR,1619935172
124,Kruisfontein,-34.0033,24.7314,56.32,55,0,5.82,ZA,1619935173
125,Dakoro,14.5106,6.765,80.04,7,8,10.04,NE,1619935173
126,Leningradskiy,69.3833,178.4167,17.74,94,100,17.52,RU,1619935174
127,Yaonahuac,19.8667,-97.45,61.02,80,86,5.86,MX,1619935174
128,Zhigansk,66.7697,123.3711,33.62,99,100,3.69,RU,1619935174
129,Katsuura,35.1333,140.3,64.0,78,0,15.99,JP,1619935175
130,Langham,52.3668,-106.9679,48.99,49,20,8.05,CA,1619935140
131,Porbandar,21.6422,69.6093,90.34,45,91,7.85,IN,1619935175
132,Southbridge,42.0751,-72.0334,48.0,53,97,7.78,US,1619935176
133,Podujevo,42.9106,21.1931,71.6,35,75,19.57,XK,1619935176
134,Lachi,33.3833,71.3386,89.6,31,40,4.61,PK,1619935177
135,Carnarvon,-24.8667,113.6333,73.4,49,40,14.97,AU,1619935177
136,Ponta do Sol,32.6667,-17.1,57.0,68,100,1.99,PT,1619935177
137,Merauke,-8.4667,140.3333,84.02,69,92,11.34,ID,1619935178
138,Hithadhoo,-0.6,73.0833,84.45,70,99,4.74,MV,1619935178
139,Aklavik,68.2191,-135.0107,24.8,80,94,3.44,CA,1619935179
140,Sirte,31.2089,16.5887,75.85,50,100,5.88,LY,1619935179
141,Cabo San Lucas,22.8909,-109.9124,72.0,71,2,9.57,MX,1619935155
142,Arman',59.7,150.1667,37.49,80,97,3.58,RU,1619935180
143,Narsaq,60.9167,-46.05,42.8,24,21,42.57,GL,1619935180
144,Varhaug,58.6147,5.6457,44.01,87,20,4.61,NO,1619935180
145,Constitución,-35.3333,-72.4167,54.7,96,100,3.51,CL,1619935181
146,Lompoc,34.6391,-120.4579,50.0,93,90,18.41,US,1619935181
147,Longyearbyen,78.2186,15.6401,19.4,68,20,13.8,SJ,1619935067
148,Tūkrah,32.5341,20.5791,90.01,18,63,19.19,LY,1619935182
149,Bogorodskoye,56.55,37.8833,47.66,58,51,4.43,RU,1619935182
150,Esim,4.8699,-2.2405,80.13,85,100,6.13,GH,1619935183
151,Capitán Bado,-23.2667,-55.5333,64.6,73,0,8.97,PY,1619935183
152,Port Lincoln,-34.7333,135.8667,62.85,66,99,12.91,AU,1619935184
153,Hamilton,39.1834,-84.5333,61.0,55,1,9.22,US,1619935047
154,Tete,-16.1564,33.5867,75.2,64,75,9.22,MZ,1619934968
155,Lock Haven,41.137,-77.4469,53.01,57,97,6.35,US,1619935185
156,Saint-Philippe,-21.3585,55.7679,84.2,54,0,3.44,RE,1619935185
157,Sangar,63.9242,127.4739,43.38,73,97,12.39,RU,1619935185
158,Dingle,10.9995,122.6711,91.98,49,27,15.52,PH,1619935186
159,Pacific Grove,36.6177,-121.9166,54.0,88,21,12.03,US,1619935186
160,Roald,62.5833,6.1333,41.0,70,20,11.5,NO,1619935187
161,Arica,-18.475,-70.3042,59.0,72,0,8.05,CL,1619935187
162,Huarmey,-10.0681,-78.1522,67.98,86,15,6.73,PE,1619935188
163,Mossamedes,-15.1961,12.1522,76.78,78,37,1.48,AO,1619935188
164,Daru,-9.0763,143.2092,81.32,80,36,12.62,PG,1619935189
165,Ribeira Grande,38.5167,-28.7,61.54,94,100,7.87,PT,1619935189
166,Sitka,57.0531,-135.33,44.6,76,90,5.75,US,1619935190
167,Chui,-33.6971,-53.4616,59.14,85,0,5.1,UY,1619935190
168,Port Elizabeth,-33.918,25.5701,50.0,87,0,3.44,ZA,1619935190
169,La Ronge,55.1001,-105.2842,41.0,75,89,6.91,CA,1619935191
170,Uyuni,-20.4597,-66.825,37.0,23,35,6.33,BO,1619935191
171,Uvalde,29.3669,-99.767,64.0,100,1,4.09,US,1619935192
172,Lososina,48.9975,140.3106,37.51,89,100,20.22,RU,1619935192
173,Iralaya,15.0,-83.2333,79.63,77,0,9.44,HN,1619935193
174,Linxia Chengguanzhen,35.6003,103.2064,75.11,22,70,7.65,CN,1619935193
175,Lusambo,-4.9667,23.45,72.12,94,100,2.35,CD,1619935193
176,Barrow,71.2906,-156.7887,17.6,79,90,12.66,US,1619935194
177,Shīeli,44.1667,66.75,72.5,23,51,11.25,KZ,1619935194
178,Thompson,55.7435,-97.8558,23.0,86,90,4.61,CA,1619935195
179,Lander,42.833,-108.7307,55.4,41,1,7.2,US,1619935195
180,Severo-Kuril'sk,50.6789,156.125,35.08,97,100,24.32,RU,1619935196
181,Kamloops,50.6665,-120.3192,50.0,57,1,6.91,CA,1619935196
182,Fukuechō,32.6881,128.8419,59.0,55,75,13.8,JP,1619935196
183,Dali,25.7,100.1833,74.05,37,33,9.78,CN,1619935197
184,Rapu-Rapu,13.1866,124.1256,83.08,76,19,11.5,PH,1619935197
185,Ketchikan,55.3422,-131.6461,46.4,93,90,1.97,US,1619935198
186,Atbasar,51.8,68.3333,60.98,29,59,15.97,KZ,1619935198
187,Alofi,-19.0595,-169.9187,75.2,100,37,14.97,NU,1619935198
188,Shestakovo,56.4915,103.96,49.5,63,93,9.17,RU,1619935199
189,Nguru,12.8791,10.4526,81.97,7,76,7.87,NG,1619935199
190,Saskylakh,71.9167,114.0833,33.58,100,100,3.76,RU,1619935200
191,Inuvik,68.3499,-133.7218,24.8,80,100,3.44,CA,1619935093
192,Tiznit Province,29.5833,-9.5,54.3,79,55,0.36,MA,1619935200
193,Ancud,-41.8697,-73.8203,46.99,93,20,5.75,CL,1619935201
194,Dubbo,-32.25,148.6167,71.6,46,90,10.36,AU,1619935202
195,Domoni,-12.2569,44.5319,83.16,75,22,4.32,KM,1619935202
196,Ostrovnoy,68.0531,39.5131,31.6,92,100,24.16,RU,1619935203
197,Neya,58.2972,43.8681,45.57,54,48,6.87,RU,1619935203
198,Torbay,47.6666,-52.7314,37.99,93,90,12.66,CA,1619935203
199,Adrar,20.5022,-10.0711,75.49,31,19,8.68,MR,1619935204
200,Soyo,-6.1349,12.3689,77.31,82,95,4.81,AO,1619935204
201,Caribou,46.8606,-68.012,37.99,48,1,4.61,US,1619935205
202,Tengzhou,35.0771,117.1518,68.56,21,99,8.99,CN,1619935206
203,Birin,26.8865,88.0718,66.16,56,96,1.01,NP,1619935206
204,Kaura Namoda,12.5898,6.5779,83.12,12,28,6.24,NG,1619935207
205,Maracanã,-0.7667,-47.45,71.8,99,96,2.24,BR,1619935207
206,Pittsfield,42.4501,-73.2454,41.0,81,90,4.61,US,1619935208
207,Anchorage,61.2181,-149.9003,50.0,31,1,5.75,US,1619934970
208,Mozelos,41.8677,-8.3978,46.99,81,0,2.3,PT,1619935208
209,Siocon,7.7061,122.1353,87.6,69,73,6.58,PH,1619935209
210,Tromsø,69.6496,18.957,30.99,64,0,3.44,NO,1619935209
211,Provideniya,64.3833,-173.3,25.59,60,99,6.35,RU,1619935210
212,Rafai,4.95,23.9167,69.76,98,99,3.58,CF,1619935210
213,Oyama,36.3,139.8,64.99,51,75,10.36,JP,1619935210
214,Korop,51.5664,32.9586,54.36,85,100,10.02,UA,1619935211
215,Chapais,49.7834,-74.8492,32.0,100,90,11.5,CA,1619935211
216,Acapulco de Juárez,16.8634,-99.8901,79.02,78,100,7.07,MX,1619935212
217,Örnsköldsvik,63.2909,18.7153,35.6,60,23,5.75,SE,1619935212
218,Anadyr,64.75,177.4833,17.6,79,40,2.24,RU,1619935212
219,Vestmanna,62.1564,-7.1664,35.6,80,40,2.3,FO,1619935213
220,Ilulissat,69.2167,-51.1,39.2,48,75,18.41,GL,1619935213
221,Saint-Pierre,-21.3393,55.4781,84.2,54,0,3.44,RE,1619935214
222,Shelburne,44.0787,-80.2041,50.0,62,1,11.5,CA,1619935214
223,Faanui,-16.4833,-151.75,80.82,68,31,4.83,PF,1619935215
224,Touros,-5.1989,-35.4608,73.4,94,40,2.3,BR,1619935215
225,Acaraú,-2.8856,-40.12,74.59,89,98,3.62,BR,1619935216
226,Atoka,34.4001,-96.0169,64.99,82,90,5.75,US,1619935216
227,Kulhudhuffushi,6.6221,73.07,84.4,69,85,3.71,MV,1619935216
228,Tiksi,71.6872,128.8694,29.46,88,100,4.99,RU,1619935217
229,Werda,-25.2667,23.2833,54.84,62,0,12.19,BW,1619935217
230,Rincon,32.296,-81.2354,66.2,82,1,8.05,US,1619935218
231,Cotonou,6.3654,2.4183,84.2,84,40,11.5,BJ,1619935218
232,Kilis,36.7161,37.115,73.4,31,0,7.63,TR,1619935219
233,Xichang,27.8964,102.2634,81.43,34,59,7.78,CN,1619935219
234,Banjarmasin,-3.3244,114.591,93.2,49,40,5.75,ID,1619935220
235,Boa Vista,2.8197,-60.6733,75.2,88,40,6.91,BR,1619935107
236,Ayamé,5.6083,-3.1563,76.06,95,84,3.2,CI,1619935220
237,Northam,51.0333,-4.2167,39.99,94,5,1.01,GB,1619935221
238,Antalaha,-14.9003,50.2788,81.32,72,5,2.51,MG,1619935221
239,Pemangkat,1.1667,108.9667,84.96,71,12,8.5,ID,1619935222
240,Deer Lake,49.1667,-57.4316,37.4,93,90,6.91,CA,1619935222
241,Castrovillari,39.8203,16.2123,69.01,100,90,10.36,IT,1619935222
242,Lagoa,39.05,-27.9833,60.33,94,100,11.7,PT,1619935223
243,Beringovskiy,63.05,179.3167,20.14,90,99,10.22,RU,1619935223
244,Heinola,61.2056,26.0381,37.99,52,0,3.44,FI,1619935224
245,Mount Isa,-20.7333,139.5,87.8,23,3,10.36,AU,1619935224
246,Shimanovsk,52.0,127.7,58.73,30,20,5.06,RU,1619935225
247,Beira,-19.8436,34.8389,69.8,83,75,15.75,MZ,1619935225
248,Kavieng,-2.5744,150.7967,84.58,68,31,5.35,PG,1619935225
249,Ailigandí,9.2333,-78.0167,77.97,84,95,4.56,PA,1619935226
250,Mwense,-10.3845,28.698,66.13,96,100,3.18,ZM,1619935226
251,Luganville,-15.5333,167.1667,78.94,80,64,8.9,VU,1619935227
252,Alibag,18.6411,72.8792,89.6,70,40,6.91,IN,1619935227
253,Morococha,-11.5997,-76.1411,35.35,88,80,2.55,PE,1619935228
254,Coquimbo,-29.9533,-71.3436,55.4,88,75,1.14,CL,1619935228
255,Laguna,38.421,-121.4238,61.0,72,1,4.61,US,1619935228
256,Klaksvík,62.2266,-6.589,35.6,80,40,2.3,FO,1619935229
257,George Town,5.4112,100.3354,91.4,79,20,9.22,MY,1619935214
258,Loei,17.4167,101.5,93.99,70,75,5.75,TH,1619935229
259,Seoul,37.5683,126.9778,66.2,45,20,11.5,KR,1619935200
260,Koslan,63.4564,48.8989,33.21,60,53,15.17,RU,1619935230
261,Novy Urengoy,66.0833,76.6333,31.51,96,100,19.46,RU,1619935231
262,Kainantu,-6.2887,145.8655,70.38,79,94,1.68,PG,1619935231
263,Hualmay,-11.0964,-77.6139,66.72,88,37,7.96,PE,1619935231
264,Tochio-honchō,37.4667,139.0,52.0,91,90,1.01,JP,1619935232
265,Yendi,9.4427,-0.0099,76.55,71,100,4.85,GH,1619935232
266,Airai,-8.9266,125.4092,73.06,47,95,3.69,TL,1619935233
267,Gboko,7.3179,8.9951,78.42,79,94,10.29,NG,1619935233
268,Namatanai,-3.6667,152.4333,83.23,73,36,1.16,PG,1619935234
269,Ulladulla,-35.35,150.4667,73.4,56,75,9.22,AU,1619935228
270,Portland,45.5234,-122.6762,54.0,66,97,2.89,US,1619935080
271,Lahaina,20.8783,-156.6825,75.2,69,40,16.11,US,1619935214
272,Chingirlau,51.095,54.0814,63.05,49,99,14.7,KZ,1619935235
273,Makakilo City,21.3469,-158.0858,78.8,68,90,10.36,US,1619935121
274,Korla,41.7597,86.1469,72.16,15,99,14.2,CN,1619935235
275,Kalemie,-5.9475,29.1947,72.66,79,100,1.97,CD,1619935236
276,Araouane,18.9048,-3.5265,85.03,31,35,3.53,ML,1619935236
277,Tahoua,14.8888,5.2692,78.8,14,0,2.3,NE,1619935236
278,Umm Kaddadah,13.6017,26.6876,87.01,16,65,11.18,SD,1619935237
279,Codrington,-38.2667,141.9667,69.13,51,53,8.97,AU,1619935237
